Unnamed: 0,Username,category,rating,label,TEXT
0,user_0,Home_and_Kitchen,5.0,0,Reliable and efficient product.
1,user_1,Home_and_Kitchen,1.0,1,Only 5-star product in the world!
2,user_2,Home_and_Kitchen,2.0,0,Exactly as described. No complaints.
3,user_3,Home_and_Kitchen,1.0,1,"Do not buy this, waste of money!"
4,user_4,Home_and_Kitchen,4.0,1,Looks great but very cheap quality.
5,user_5,Home_and_Kitchen,5.0,1,"Do not buy this, waste of money!"
6,user_6,Home_and_Kitchen,1.0,1,Too good to be true. Buy now!!!
7,user_7,Home_and_Kitchen,3.0,0,Very satisfied with the quality and service.
8,user_8,Home_and_Kitchen,4.0,0,Perfect for my needs. Great experience.
9,user_9,Home_and_Kitchen,5.0,1,Only 5-star product in the world!
10,user_10,Home_and_Kitchen,4.0,1,"Came broken, looks like a fake item."
11,user_11,Home_and_Kitchen,2.0,1,Looks great but very cheap quality.
12,user_12,Home_and_Kitchen,4.0,0,Exactly as described. No complaints.
13,user_13,Home_and_Kitchen,4.0,0,Exactly as described. No complaints.
14,user_14,Home_and_Kitchen,4.0,0,Very satisfied with the quality and service.
15,user_15,Home_and_Kitchen,5.0,0,Durable and stylish. Would buy again.
16,user_16,Home_and_Kitchen,1.0,0,Good packaging and performance. Highly recommend.
17,user_17,Home_and_Kitchen,4.0,0,Durable and stylish. Would buy again.
18,user_18,Home_and_Kitchen,5.0,0,Reliable and efficient product.
19,user_19,Home_and_Kitchen,2.0,0,Top quality! Very happy with this purchase.
20,user_20,Home_and_Kitchen,2.0,1,Can't believe how great this is!!!
21,user_21,Home_and_Kitchen,3.0,1,Looks great but very cheap quality.
22,user_22,Home_and_Kitchen,4.0,1,Looks great but very cheap quality.
23,user_23,Home_and_Kitchen,3.0,1,Can't believe how great this is!!!
24,user_24,Home_and_Kitchen,4.0,0,Delivered on time. Worth the price.
25,user_25,Home_and_Kitchen,1.0,1,Only 5-star product in the world!
26,user_26,Home_and_Kitchen,5.0,1,Scammy product. Totally fake.
27,user_27,Home_and_Kitchen,2.0,1,Too good to be true. Buy now!!!
28,user_28,Home_and_Kitchen,1.0,0,Exactly as described. No complaints.
29,user_29,Home_and_Kitchen,3.0,0,Very satisfied with the quality and service.
30,user_30,Home_and_Kitchen,4.0,0,Perfect for my needs. Great experience.
31,user_31,Home_and_Kitchen,3.0,0,Excellent product! Works as expected.
32,user_32,Home_and_Kitchen,2.0,1,Can't believe how great this is!!!
33,user_33,Home_and_Kitchen,3.0,1,Can't believe how great this is!!!
34,user_34,Home_and_Kitchen,3.0,1,"Do not buy this, waste of money!"
35,user_35,Home_and_Kitchen,1.0,0,Perfect for my needs. Great experience.
36,user_36,Home_and_Kitchen,4.0,1,Only 5-star product in the world!
37,user_37,Home_and_Kitchen,5.0,0,Absolutely love this product.
38,user_38,Home_and_Kitchen,4.0,0,Good packaging and performance. Highly recommend.
39,user_39,Home_and_Kitchen,5.0,1,Too good to be true. Buy now!!!
40,user_40,Home_and_Kitchen,1.0,0,Delivered on time. Worth the price.
41,user_41,Home_and_Kitchen,3.0,0,Excellent product! Works as expected.
